season,week,rank,team,record,description
2022,3,28,Jacksonville Jaguars,1-1,"Previous rank: No. 31 Now that's the version of Trevor Lawrence the Jaguars are looking for. Last year's No. 1 overall pick played smart and efficient football in his second start of the season, avoiding the mistakes of last week's loss in Washington and letting the Jacksonville defense do the rest in a 24-0 win over the sagging Colts. Lawrence had completions to seven different receivers, including two passing scores to Christian Kirk . Credit Doug Pederson for cooking up a sound game plan that gave Lawrence good looks and open receivers as Jacksonville built up a 17-0 lead at the half. Embarrassing a supposedly superior division rival should be all the evidence the Jags need that the AFC South is there for the taking."
2022,3,29,Atlanta Falcons,0-2,"Previous rank: No. 30 ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ The Falcons nearly exorcised some franchise demons in Los Angeles . Arthur Smith's team fell behind the Rams 28-3 before mounting a furious rally that put Atlanta on the doorstep of a stunning upset on a Sunday filled with them. Unfortunately, Marcus Mariota 's bid to put the Falcons ahead in the final minute was foiled by Jalen Ramsey , who made an acrobatic interception to end it. Still, there were positives to take out of the day: Drake London had his first touchdown , Darren Hall forced a Cooper Kupp fumble and Lorenzo Carter recovered a blocked punt for a touchdown . This is a better Atlanta team than we saw a year ago ... now the Falcons just need to find a path to victory."
2022,3,30,Chicago Bears,1-1,"Previous rank: No. 25 Justin Fields nearly made it a game with his doomed fourth-and-goal stretch on Sunday night, but when the dust settled on a 27-7 loss , it was clear the dynamic of the Packers-Bears ""rivalry"" remains unchanged. Chicago was outclassed, particularly on defense in the run game. The Packers piled up 203 rushing yards, with Aaron Jones averaging nearly 9.0 yards per attempt. David Montgomery delivered a stellar statistical performance of his own, but what's up with the Bears' passing game? Fields had just 11 pass attempts all night, while nominal No. 1 wideout Darnell Mooney has 4 yards through two games. This team will need more monsoons to make a playoff push."
2022,3,31,Carolina Panthers,0-2,"Previous rank: No. 29 If the Panthers offense we've seen in the first two weeks is what we'll get for the entire season, a lot of changes are coming to Charlotte -- and perhaps sooner than you think. Baker Mayfield has not proved himself to be a solution at quarterback thus far, leaving the door open for a potential Sam Darnold lineup return once he's healthy . The Carolina defense has done its part, keeping mediocre Browns and Giants offenses from going wild, but the Panthers have now lost nine straight games dating back to last season. Matt Rhule's seat is hot."
2022,3,32,Houston Texans,0-1-1,"Previous rank: No. 28 ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ It's not too early to have serious concerns about the Texans' offense. A week after Davis Mills and Co. disappeared in the fourth quarter and overtime against the Colts, Houston managed just 234 yards and three field goals in a 16-9 loss to the Broncos at Mile High. Mills also fumbled twice and averaged less than 5.0 yards per attempt in an uninspiring effort that included a four-and-out in the final minute. A bright spot for Houston? The defense, which repeatedly turned Denver away in the red zone and held Russell Wilson to just one touchdown pass. The Broncos were sloppy and begging to be picked off ... but the Texans weren't up for the challenge."
2022,4,1,Philadelphia Eagles,3-0,"Previous rank: No. 3 ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ Philadelphia's a big green wrecking machine right now. Jalen Hurts and the Eagles' offense have been showing out since the season opener in Detroit, but now Nick Sirianni's defense has announced its arrival with a dominant nine-sack performance against the Commanders and old friend Carson Wentz . What's the most pressing ""problem"" for the undefeated Iggles? DeVonta Smith was so dominant on Sunday (156 yards in the first half alone), it calls into question whether A.J. Brown is the team's true No. 1 receiver. ""By the eyes, he might be a little slight, but he plays like a big boy ,"" Hurts said of Smith. ""He's a guy, when his number's called, I know he'll answer the phone."""
2022,4,2,Buffalo Bills,2-1,"Previous rank: No. 1 ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ The Bills ran 51 more plays than the Dolphins and still got beat -- if you were offensive coordinator Ken Dorsey, you'd probably lose your religion, too . Frustrations from an unusual game aside, the biggest concern in Buffalo is an injury-ravaged defense that was without five starters in Miami. The secondary has been particularly besieged: Star safety Micah Hyde is out for the year with a neck injury, while safety Jordan Poyer (foot) and cornerbacks Dane Jackson (neck) and Christian Benford (who suffered a fractured hand against Miami) have all been sidelined. On Sunday, the Dolphins were able to exploit the Bills' untested backups with some big downfield strikes; it's a trend that will continue as long as Buffalo is undermanned."
2022,4,3,Miami Dolphins,3-0,"Previous rank: No. 8 The Dolphins enter Week 4 alone atop the AFC East after a stranger-than-fiction 21-19 win over the powerhouse Bills. Miami's offense possessed the ball for just under 20 minutes against Buffalo, but the quick-strike attack made the most of its limited opportunities. The biggest play of the game came on a third-and-22 in the fourth quarter, as Jaylen Waddle split the Bills' secondary for a 45-yard gain that set up the go-ahead score. Throw in a survived Butt Punt and some clock-management and special teams failures by a previously impervious opponent, and you can say the Dolphins are living a charmed life right now."
2022,4,4,Green Bay Packers,2-1,"Previous rank: No. 5 Gossip item: Aaron Rodgers might be finding new love in his wideout room. Rookie fourth-rounder Romeo Doubs hauled in all eight of his targets for 73 yards and a score in a narrow win over the Bucs. If Doubs gains Rodgers' trust, he can become a breakout star overnight. Meanwhile, is Rodgers finally getting his blind-side protector back? David Bakhtiari made another attempt at a return to the Packers lineup, playing 35 offensive snaps in a rotation with Yosh Nijman on Sunday. Bakhtiari was one of the best left tackles in football before suffering a knee injury in practice on Dec. 31, 2020. A return to form would be a massive lift for the entire offense."
2022,4,5,Kansas City Chiefs,2-1,"Previous rank: No. 2 The Chiefs are going to want that one back. Kansas City didn't feel like the inferior team in a road matchup against the Colts, but an avalanche of critical mistakes opened the door for the 20-17 upset . Skyy Moore muffed a punt to set up Indy's first touchdown, while Harrison Butker fill-in Matt Ammendola missed a 34-yard field-goal try and an extra point. By the time Patrick Mahomes threw his lone interception in the final seconds, the Chiefs had already made enough errors to deserve their fate. Expect to see a much cleaner version of Andy Reid's team on Sunday night against the Bucs ."
2022,4,6,Los Angeles Rams,2-1,"Previous rank: No. 6 While the Rams' offense continues to work out the kinks, Sean McVay's defense has been tasked with keeping the team on a winning track. They did their job on Sunday in Arizona, holding Kyler Murray and the Cardinals without a touchdown in a 20-12 win . The Cardinals punted on their first four possessions and settled for four field goals as the Rams took control behind touchdowns from Cooper Kupp and Cam Akers . ""There are no style points in this game,"" McVay said . ""But there are ways to play more complete games. That's what we're hunting."""
2022,4,7,Baltimore Ravens,2-1,"Previous rank: No. 10 In Week 3, the Ravens' defense collapsed in the fourth quarter against the Dolphins. On Sunday at Foxborough, Baltimore's defense closed its opponent out. The Ravens produced three turnovers in the fourth quarter, including a crucial end-zone interception by Marlon Humphrey , to help seal a 37-26 win over the Patriots. Lamar Jackson continued to look like the NFL's early front-runner for MVP, producing five total touchdowns . ""No one has to tell me about Lamar Jackson,"" Ravens coach John Harbaugh said of his QB (and pending free agent ). ""I believed in him from the first day we drafted him."""
2022,4,8,Tampa Bay Buccaneers,2-1,"Previous rank: No. 4 ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ï»¿ Tom Brady needs his friends back on the playground. On Sunday, the G.O.A.T. once again played without wide receivers Mike Evans ( suspension ), Chris Godwin (hamstring) and Julio Jones (knee), as well as left tackle Donovan Smith (elbow), in a 14-12 loss to the Packers. Chalk it up to bad timing for a key conference showdown that could have significant ramifications come playoff-seeding time. With the Chiefs on deck , the challenges keep coming in different forms: The Bucs moved operations to Miami this week in order to practice out of the path of Hurricane Ian. The storm is projected to make landfall along the Gulf Coast of Florida in the coming days."
2022,4,9,Minnesota Vikings,2-1,"Previous rank: No. 11 Kirk Cousins and the Vikings looked outclassed against the Eagles in the second game of Week 2's Monday doubleheader. Early on against the Lions on Sunday, it looked like more of the same. But Minnesota and its QB showed resolve, digging out of 14-0 and 24-14 holes to beat an NFC North rival and get things back on track after that humbling prime-time loss. The hero was K.J. Osborn , who zipped through the Detroit defense almost unnoticed for the go-ahead 28-yard touchdown with 45 seconds to play. Osborn has found his niche in this offense -- since the start of last season, no Vikings receiver has more catches in two-minute situations than the 2020 fifth-round pick."
2022,4,10,Cincinnati Bengals,1-2,"Previous rank: No. 12 Cincinnati finally looked the part of a defending conference champion on Sunday, setting the tone with two first-quarter touchdown drives en route to a 27-12 win over the Jets at the Meadowlands. Joe Burrow threw three touchdown passes and was the beneficiary of quality pass protection from an offensive line that struggled mightily in the first two weeks. The Bengals still need to figure out what is wrong with their running game after logging 69 rushing yards, but Sunday was a positive first step after an early stumble. ""We just needed to get the first win,"" coach Zac Taylor said. ""I didn't really care what it looked like. I didn't care if it was 3-0 or 49-3. We just needed to rip that Band-Aid off, get that first win. We've been a confident team all along."""
